Year	Idea/Movement	Influential Individuals	Continent	Weight
-4000	Early Metallurgy	Unnamed Sumerian and Egyptian metalworkers	Middle East	7
-3500	Writing Systems	Sumerians, Ancient Egyptians	Middle East	8
-3000	Early Astronomy	Mesopotamian and Egyptian astronomers	Middle East	8
-2600	Medicine in Egypt	Imhotep	Africa	8
-2000	Babylonian Mathematics	Unnamed Babylonian scholars	Middle East	8
-1600	Egyptian Medicine	Unnamed Egyptian physicians	Africa	7
-1500	Early Chemistry (Alchemy)	Chinese and Egyptian alchemists	Asia, Africa	7
-1200	Iron Smelting	Hittite Metallurgists	Middle East	8
-800	Greek Natural Philosophy	Thales, Anaximander, Heraclitus	Europe	9
-600	Early Atomic Theory	Leucippus, Democritus	Europe	8
-500	Hippocratic Medicine	Hippocrates	Europe	9
-300	Euclidean Geometry	Euclid	Europe	10
-250	Archimedean Mechanics	Archimedes	Europe	10
150	Ptolemaic Astronomy	Claudius Ptolemy	Europe	9
800	Algebra	Al-Khwarizmi	Middle East	9
1000	Optics	Ibn al-Haytham	Middle East	9
1100	Early Medicine	Avicenna	Middle East	9
1200	Scientific Method (Islamic)	Alhazen, Al-Biruni	Middle East	9
1543	Heliocentric Theory	Nicolaus Copernicus	Europe	10
1600	Modern Scientific Method	Francis Bacon, Galileo Galilei	Europe	10
1687	Classical Mechanics	Isaac Newton	Europe	10
1750	Electricity Studies	Benjamin Franklin	North America	9
1820	Electromagnetism	André-Marie Ampère, Michael Faraday	Europe	10
1859	Evolution by Natural Selection	Charles Darwin	Europe	10
1905	Special Relativity	Albert Einstein	Europe	10
1927	Quantum Mechanics	Werner Heisenberg, Erwin Schrödinger	Europe	10
1953	DNA Structure	James Watson, Francis Crick, Rosalind Franklin	Europe/N. America	10
1969	Moon Landing	NASA Apollo 11 team	North America	10
1980	Personal Computing	Steve Jobs, Bill Gates	North America	9
2000	Human Genome Project	International Team	Global	10
