Year	Idea/Movement	Influential Individuals	Continent	Weight
-2000	Vedic Religion	Vedic Rishis	Asia	9
-1800	Zoroastrianism	Zoroaster	Asia	9
-1500	Ancient Egyptian Religion	High Priests of Amun	Africa	8
-1200	Hebrew Monotheism	Moses	Middle East	10
-800	Taoism	Laozi	Asia	9
-600	Jainism	Mahavira	Asia	9
-563	Buddhism	Siddhartha Gautama (Buddha)	Asia	10
-550	Confucianism	Confucius	Asia	9
-500	Greek Philosophy & Spirituality	Pythagoras, Socrates, Plato, Aristotle	Europe	9
30	Christianity	Jesus Christ	Middle East	10
250	Mahayana Buddhism	Nagarjuna, Ashvaghosha	Asia	9
570	Islam	Muhammad	Middle East	10
800	Vajrayana Buddhism	Padmasambhava	Asia	8
1100	Sufism	Rumi, Al-Ghazali	Middle East	9
1469	Sikhism	Guru Nanak	Asia	9
1600	Christian Mysticism	St. John of the Cross, Teresa of Ávila	Europe	8
1780	Enlightenment Spirituality	Immanuel Kant, Voltaire	Europe	9
1875	Theosophy	Helena Blavatsky, Henry Steel Olcott	Europe/N. America	8
1893	Modern Hindu Revival	Swami Vivekananda	Asia	9
1920	New Thought Movement	Ernest Holmes, Emmet Fox	N. America	8
1950	Zen & Eastern Spirituality in the West	D.T. Suzuki, Alan Watts	N. America/Europe	9
1960	New Age Movement	Various spiritual leaders	N. America	8
1990	Mindfulness Movement	Jon Kabat-Zinn	N. America	9
