Year	Idea/Movement	Influential Individuals	Continent	Weight
-4000	Proto-Religious Thought	Early Mesopotamian and Egyptian thinkers	Middle East	7
-3000	Ancient Chinese Philosophy	Unnamed early Chinese sages	Asia	7
-2600	Egyptian Moral Philosophy	Ptahhotep	Africa	7
-2000	Vedic Philosophy	Vedic Rishis	Asia	8
-1600	Babylonian Ethics	Hammurabi	Middle East	8
-1200	Hebrew Monotheistic Ethics	Moses	Middle East	9
-800	Upanishadic Thought	Early Hindu sages	Asia	9
-600	Taoism	Laozi	Asia	9
-600	Jain Philosophy	Mahavira	Asia	9
-500	Confucianism	Confucius	Asia	9
-500	Greek Philosophy	Socrates, Plato, Aristotle	Europe	10
-400	Buddhist Philosophy	Siddhartha Gautama (Buddha)	Asia	10
-300	Stoicism	Zeno of Citium	Europe	9
-100	Roman Philosophy	Cicero, Seneca, Marcus Aurelius	Europe	8
200	Neoplatonism	Plotinus	Europe	8
500	Christian Philosophy	Augustine of Hippo	Europe	9
800	Islamic Philosophy	Al-Farabi, Avicenna, Al-Ghazali	Middle East	9
1200	Scholasticism	Thomas Aquinas	Europe	9
1400	Renaissance Humanism	Erasmus, Pico della Mirandola	Europe	9
1600	Rationalism	René Descartes, Baruch Spinoza, Leibniz	Europe	10
1700	Empiricism	John Locke, David Hume	Europe	10
1780	German Idealism	Immanuel Kant, Georg Hegel	Europe	10
1800	Utilitarianism	Jeremy Bentham, John Stuart Mill	Europe	9
1840	Existentialism	Søren Kierkegaard	Europe	9
1850	Marxism	Karl Marx, Friedrich Engels	Europe	10
1900	Analytic Philosophy	Bertrand Russell, Ludwig Wittgenstein	Europe	10
1920	Phenomenology	Edmund Husserl, Martin Heidegger	Europe	9
1950	Postmodernism	Michel Foucault, Jacques Derrida	Europe	9
