Year	Idea/Movement	Influential Individuals	Continent	Weight
-2000	Ancient Egyptian Art	Imhotep, Thutmose, Senenmut	Africa	9
-1600	Minoan Art	Unnamed fresco painters of Knossos	Europe	8
-1100	Ancient Chinese Art	Unnamed artisans of the Shang Dynasty	Asia	9
-800	Ancient Greek Art	Phidias, Polykleitos, Praxiteles	Europe	9
-500	Ancient Indian Art	Unnamed sculptors of the Maurya Empire	Asia	9
-200	Ancient Roman Art	Apollodorus of Damascus, Unnamed mosaic artists	Europe	8
300	Byzantine Art	Unnamed icon painters, mosaicists	Europe/Asia	9
700	Islamic Art	Calligraphers and architects of the Umayyad Caliphate	Middle East	9
1000	Romanesque Art	Unnamed cathedral sculptors and architects	Europe	8
1150	Gothic Art	Giotto di Bondone, Abbot Suger	Europe	9
1300	Renaissance	Leonardo da Vinci, Michelangelo Buonarroti, Raphael Sanzio	Europe	10
1600	Baroque	Caravaggio, Rembrandt van Rijn, Peter Paul Rubens	Europe	9
1700	Rococo	Jean-Antoine Watteau, François Boucher, Jean-Honoré Fragonard	Europe	8
1750	Neoclassicism	Jacques-Louis David, Antonio Canova, Jean-Auguste-Dominique Ingres	Europe	8
1800	Romanticism	Francisco Goya, J.M.W. Turner, Caspar David Friedrich	Europe	9
1850	Realism	Gustave Courbet, Jean-François Millet, Honoré Daumier	Europe	8
1870	Impressionism	Claude Monet, Édouard Manet, Pierre-Auguste Renoir	Europe	10
1880	Post-Impressionism	Vincent van Gogh, Paul Cézanne, Georges Seurat	Europe	10
1900	Expressionism	Edvard Munch, Wassily Kandinsky, Egon Schiele	Europe	9
1910	Cubism	Pablo Picasso, Georges Braque, Juan Gris	Europe	10
1920	Surrealism	Salvador Dalí, André Breton, Max Ernst	Europe	9
1940	Abstract Expressionism	Jackson Pollock, Willem de Kooning, Mark Rothko	North America	10
1950	Pop Art	Andy Warhol, Roy Lichtenstein, Richard Hamilton	North America	10
1960	Minimalism	Donald Judd, Agnes Martin, Frank Stella	North America	8
1970	Conceptual Art	Sol LeWitt, Joseph Kosuth, Lawrence Weiner	North America	8
1980	Street Art	Jean-Michel Basquiat, Keith Haring, Banksy	North America/Europe	9
1990	Contemporary Art	Damien Hirst, Jeff Koons, Yayoi Kusama	Europe/Asia	9
